core,mnemonic,opcode_hex,count,is_fft_special
Core0,ADD,0x1,18,no
Core0,SUB,0x2,14,no
Core0,MOVI,0x5,4,no
Core0,LDR,0x7,36,no
Core0,STR,0x8,40,no
Core0,HALT,0xf,1,no
Core1,NOP,0x0,33,no
Core1,ADD,0x1,8,no
Core1,SUB,0x2,13,no
Core1,MOVI,0x5,3,no
Core1,LDR,0x7,20,no
Core1,STR,0x8,16,no
Core1,MUL,0xe,4,no
Core1,HALT,0xf,1,no
